Variable,Area,Year,Value,Unit
GDP per capita,Australia,1998,20999.4302,current US$/inhab
GDP per capita,Australia,1999,22740.69787,current US$/inhab
GDP per capita,Australia,2000,21565.3657,current US$/inhab
GDP per capita,Australia,2001,20326.27671,current US$/inhab
GDP per capita,Australia,2002,22404.079,current US$/inhab
GDP per capita,Australia,2003,28448.15593,current US$/inhab
GDP per capita,Australia,2004,34157.79194,current US$/inhab
GDP per capita,Australia,2005,37842.50733,current US$/inhab
GDP per capita,Australia,2006,40067.55454,current US$/inhab
GDP per capita,Australia,2007,47385.41133,current US$/inhab
GDP per capita,Australia,2008,49797.81139,current US$/inhab
GDP per capita,Brazil,1998,5015.540329,current US$/inhab
GDP per capita,Brazil,1999,3440.522905,current US$/inhab
GDP per capita,Brazil,2000,3726.8112,current US$/inhab
GDP per capita,Brazil,2001,3142.234411,current US$/inhab
GDP per capita,Brazil,2002,2824.714912,current US$/inhab
GDP per capita,Brazil,2003,3056.648975,current US$/inhab
GDP per capita,Brazil,2004,3623.223511,current US$/inhab
GDP per capita,Brazil,2005,4773.269572,current US$/inhab
GDP per capita,Brazil,2006,5866.024313,current US$/inhab
GDP per capita,Brazil,2007,7323.190507,current US$/inhab
GDP per capita,Brazil,2008,8801.759224,current US$/inhab
GDP per capita,Ethiopia,1998,122.379648,current US$/inhab
GDP per capita,Ethiopia,1999,112.611423,current US$/inhab
GDP per capita,Ethiopia,2000,119.796791,current US$/inhab
GDP per capita,Ethiopia,2001,115.381036,current US$/inhab
GDP per capita,Ethiopia,2002,108.213069,current US$/inhab
GDP per capita,Ethiopia,2003,115.54302,current US$/inhab
GDP per capita,Ethiopia,2004,131.94554,current US$/inhab
GDP per capita,Ethiopia,2005,157.010384,current US$/inhab
GDP per capita,Ethiopia,2006,188.017392,current US$/inhab
GDP per capita,Ethiopia,2007,231.620094,current US$/inhab
GDP per capita,Ethiopia,2008,303.573787,current US$/inhab
GDP per capita,Germany,1998,27463.9481,current US$/inhab
